章,节,标题,厂内用途,本库对照
1,1,产品系列,代号与图号,10-机械/图号规则
1,1.2,产品规格（带宽、代号）,定系列,10-机械/产品系列
1,1.6,图纸编号规则,拆图号,10-机械/图号规则
2,2,整机设计,侧型布置,10-机械/部件/10-总图与布置
2,2.2,带速选择,选型,GB-T-10595-2017
2,2.3,总体布置（侧型）,头尾弧拉紧驱动位置,10-机械/部件/10-总图与布置
3,3,设计计算,功率张力,ISO-5048
3,3.3,运量与带宽,选型,10-机械/部件/10-总图与布置
3,3.4,圆周驱动力,计算,ISO-5048
3,3.5,输送带张力,特性点,ui-prototype
3,3.6,传动滚筒轴功率,驱动,10-机械/部件/01-驱动装置
3,3.8,电动机功率,驱动,10-机械/部件/01-驱动装置
3,3.10,拉紧参数,拉紧,10-机械/部件/05-拉紧装置
4,4,部件选型原则,先定性再查型谱,10-机械/索引
4,4.6,托辊（辊径、型式）,选辊,10-机械/部件/03-托辊
5,5,系统设计,联锁超载,10-机械/部件/09-保护装置
6,6,主要部件型谱,对图号,DTIIA-图册
6,6.1,传动滚筒,滚筒,10-机械/部件/02-滚筒
6,6.2,改向滚筒,滚筒,10-机械/部件/02-滚筒
6,6.3,承载托辊,托辊,10-机械/部件/03-托辊
6,6.4,回程托辊,托辊,10-机械/部件/03-托辊
6,6.5,托辊辊子,零件,原料采购
6,6.6-6.9,拉紧装置型谱,拉紧,10-机械/部件/05-拉紧装置
6,6.10,清扫器,清扫,10-机械/部件/06-清扫器
7,7,驱动装置型谱,驱动组合,10-机械/部件/01-驱动装置
8,8,电动滚筒和减速滚筒,小功率驱动,10-机械/部件/01-驱动装置
9,9,结构件型谱,机架,10-机械/部件/04-机架
9,9.11,导料槽,导料,10-机械/部件/07-导料槽与漏斗
9,9.12,头部漏斗,漏斗,10-机械/部件/07-导料槽与漏斗
10,10,辅助装置型谱,卸料等,10-机械/部件/08-卸料器
10,10.5,犁式卸料器,卸料,10-机械/部件/08-卸料器
11,11,安全规范与防护,防护,10-机械/部件/09-保护装置
12,12.4,检测元件,保护,10-机械/部件/09-保护装置
13,13,计算机辅助设计,历史软件,ui-prototype
14,14,ZJT1A-96部件,勿混DTⅡA图号,10-机械/产品系列
15,15,D-YM96运煤部件,勿混DTⅡA图号,10-机械/产品系列
16,16,输送带及接头,外购带,GB-T-10595-2017
17,17,驱动标准部件,电机减速器偶合器,10-机械/部件/01-驱动装置
18,18,配套产品资料,附录,50-资料库/索引
