代号,名称,类别,公开,用法,出图,计算,状态,链接
GB-T-10595-2017,带式输送机,国标,是,网上可引用,否,否,现行,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=699B0A98206696B50EE902FE6AB8BDB4
GB-T-17119,带承载托辊的带式输送机 运行功率和张力的计算,国标,预览,网上可引用,否,是,核对应版次,https://openstd.samr.gov.cn/
ISO-5048,Belt conveyors — Calculation of operating power and tensile forces,计算方法,预览,网上可引用,否,是,现行,https://www.iso.org/standard/11069.html
DIN-22101,散状物料带式输送机设计,计算方法,否,对照用,否,是,现行,https://www.din.de/
CEMA-Belt-Book,Belt Conveyors for Bulk Materials,计算方法,否,对照用,否,是,现行,https://cemanet.org/
DTII-手册-1994,DTⅡ型固定式带式输送机设计选用手册,手册,否,厂内必备,部分,部分,现行,冶金工业出版社 1994
DTIIA-手册-2013,DTⅡ(A)型带式输送机设计手册 第2版,手册,否,厂内必备,部分,是,现行,冶金工业出版社 2013
DTIIA-图册,DTⅡ(A)标准图册（CAD/扫描）,图册,否,厂内必备,是,否,现行,北起院图册 厂内盘
厂家样本-公开参数,DTⅡA 厂家官网选型参数表,厂家样本,是,网上可引用,否,否,现行,各厂官网
禁止-盗版扫描,文库/论坛免费手册PDF与图册扫描,禁止,否,禁止当依据,禁止,禁止,作废,不要下载
